Loinc Long Common Name	Score	Candidate HPO Class URI	Candidate HPO Class Label	Candidate HPO Class Definition
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0025065	Abnormal erythrocyte volume@en	A deviation from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells, usually taken to be 80 to 100 femtoliters.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0025021	Abnormal erythrocyte sedimentation rate@en	A deviation from normal range of the erythrocyte sedimentation rate (ESR), a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0001923	Reticulocytosis	An elevation in the number of reticulocytes (immature erythrocytes) in the peripheral blood circulation.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0004823	Anisopoikilocytosis	A type of poikilocytosis characterized by the presence in the blood of erythrocytes of varying sizes and abnormal shapes.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0010970	Blood group antigen abnormality	An abnormality of an erythrocyte cell surface molecule.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0005540	Red blood cell keratocytosis	A form of poikilocytosis in which the abnormally shaped erythrocytes have notches that results in projections that look like horns.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0001877	Abnormality of erythrocytes	An abnormality of erythrocytes (red-blood cells).
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0001899	Increased hematocrit	An increase in the volume of packed erythrocytes in a blood specimen.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0030271	Reduced erythrocyte 2,3-diphosphoglycerate concentration	2,3-diphosphoglycerate (2,3-DPG) controls the movement of oxygen from red blood cells to tissues. Anemia is usually accompanied by an increased level of 2,3-DPG in order to promote tissue oxygenation. This term refers to an inappropriate low 2,3-DPG concentration in erythrocytes.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0003565	Elevated erythrocyte sedimentation rate	An increased erythrocyte sedimentation rate (ESR). The ESR a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen.
Creatinine [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003259	Elevated serum creatinine	An increased amount of creatinine in the blood.
Creatinine [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012100	Abnormal circulating creatinine level	An abnormal concentration of creatinine in the blood.
Creatinine [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003774	Stage 5 chronic kidney disease	A degree of kidney failure severe enough to require dialysis or kidney transplantation for survival characterized by a severe reduction in glomerular filtration rate (less than 15 ml/min/1.73 m2) and other manifestations including increased serum creatinine.
Creatinine [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012101	Decreased serum creatinine	An abnormally reduced amount of creatinine in the blood.
Creatinine [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0001919	Acute kidney injury	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia).
Creatinine [Mass/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0003513	Reduced ratio of renal calcium clearance to creatinine clearance	A reduction of the ratio of renal calcium clearance to creatinine clearance to below 0.01.
Chloride [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003113	Hypochloremia	An abnormally decreased chloride concentration in the blood.
Chloride [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003612	Positive ferric chloride test	If positive, the ferric chloride test indicates an increased concentration of phenols in the urine or blood.
Chloride [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0011423	Hyperchloremia	An abnormally increased chloride concentration in the blood.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0002914	Hyperchloriduria	An increased concentration of chloride in the urine.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012236	Elevated sweat chloride	An increased concentration of chloride in the sweat.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0011422	Abnormality of chloride homeostasis	An abnormality of chloride homeostasis or concentration in the body.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012600	Abnormal urine chloride concentration	An abnormal concentration of chloride in the urine.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012602	Renal chloride wasting	High urine chloride in the presence of hypochloridemia.
Chloride [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012601	Hypochloriduria	An decreased concentration of chloride in the urine.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0030402	Abnormal platelet aggregation	An abnormality in the rate and degree to which platelets aggregate after the addition of an agonist that stimulates platelet clumping. Platelet aggregation is measured using aggregometer to measure the optical density of platelet-rich plasma, whereby platelet aggregation causes the plasma to become more transparent.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0001894	Thrombocytosis	Increased numbers of platelets in the peripheral blood.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0030389	Abnormality of thromboxane metabolism	An anomaly of the metabolism of thromboxane (CHEBI:26995). Thromboxanes are derived from prostaglandin precursors in platelets, and stimulate aggregation of platelets and constriction of blood vessels.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0030136	Enhanced ristocetin cofactor assay activity	Abnormal response to ristocetin as manifested by increased aggregation of platelets upon addition of low-dose ristocetin to platelet-rich plasma.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0031131	Abnormal plalelet phosphatidylserine exposure	An abnormality of phosphatidylserine (PS) on activated platelets. PS is normally located on the cytoplasmic face of the resting platelet membrane but appears on the plasma-oriented surface of discrete membrane vesicles that derive from activated platelets. Thrombin, the central molecule of coagulation, is produced from prothrombin by a complex (prothrombinase) between factor Xa and its protein cofactor (factor V(a)) that forms on platelet-derived membranes. This complex enhances the rate of activation of prothrombin to thrombin by roughly 150,000 fold relative to factor X(a) in solution. The negatively charged surface of PS-containing platelet-derived membranes is at least partly responsible for this rate enhancement.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0011873	Abnormal platelet count	Abnormal number of platelets per volume of blood. In a healthy adult, a normal platelet count is between 150,000 and 450,000 per microliter of blood.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0004813	Post-transfusion thrombocytopenia	Sudden onset of thrombocytopenia (reduced platelet count) within 5-10 days of the transfusion of blood products. The clinical presentation is post-transfusion purpura (PTP), wigth severe thrmbocytopenia, epistaxis, and hemorrhages.
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0001876	Pancytopenia	An abnormal reduction in numbers of all blood cell types (red blood cells, white blood cells, and platelets).
Platelets [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0030129	Impaired ristocetin cofactor assay activity	Abnormal response to ristocetin as manifested by reduced or lacking aggregation of platelets upon addition of ristocetin to platelet-poor plasma.
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count	80	http://purl.obolibrary.org/obo/HP_0025065	Abnormal erythrocyte volume@en	A deviation from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells, usually taken to be 80 to 100 femtoliters.
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count	80	http://purl.obolibrary.org/obo/HP_0001972	Macrocytic anemia	A type of anemia characterized by increased size of erythrocytes with increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).
Erythrocyte mean corpuscular volume [Entitic volume] by Automated count	80	http://purl.obolibrary.org/obo/HP_0005518	Increased mean corpuscular volume	Larger than normal size of erythrocytes.
Sodium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0025382	Hypodipsia@en	Reduced fluid intake (drinking) in a clinical situation where the plasma molarity or sodium concentration normally would induce greater fluid intake.
Sodium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003228	Hypernatremia	An abnormally increased sodium concentration in the blood.
Sodium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0002902	Hyponatremia	An abnormally decreased sodium concentration in the blood.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012604	Hyponatriuria	An abnormally decreased sodium concentration in the urine.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012605	Hypernatriuria	An increased concentration of sodium(1+) in the urine.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0010931	Abnormality of sodium homeostasis	An abnormal concentration of sodium.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0003575	Increased intracellular sodium	An abnormally increased sodium concentration in the cytosol.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012603	Abnormal urine sodium concentration	An abnormal concentration of sodium in the urine.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0001994	Renal Fanconi syndrome	An inability of the tubules in the kidney to reabsorb small molecules, causing increased urinary loss of electrolytes (sodium, potassium, bicarbonate), minerals, glucose, amino acids, and water.
Sodium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012606	Renal sodium wasting	An abnormally increased sodium concentration in the urine in the presence of hyponatremia.
Urea nitrogen [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003138	Increased blood urea nitrogen	An increased amount of nitrogen in the form of urea in the blood.
Urea nitrogen [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0001919	Acute kidney injury	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia).
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0001985	Hypoketotic hypoglycemia	A decreased concentration of glucose in the blood associated with a reduced concentration of ketone bodies.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0040217	Elevated hemoglobin A1c	An increased concentration of hemoglobin A1c (HbA1c), which is the product of nonenzymatic attachment of a hexose molecule to the N-terminal amino acid of the hemoglobin molecule. This reaction is dependent on blood glucose concentration, and therefore reflects the mean glucose concentration over the previous 8 to 12 weeks. The HbA1c level provides a better indication of long-term glycemic control than one-time blood or urinary glucose measurements.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0000855	Insulin resistance	Increased resistance towards insulin, that is, diminished effectiveness of insulin in reducing blood glucose levels.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0000831	Insulin-resistant diabetes mellitus	A type of diabetes mellitus related not to lack of insulin but rather to lack of response to insulin on the part of the target tissues of insulin such as muscle, fat, and liver cells. This type of diabetes is typically associated with increases both in blood glucose concentrations as will as in fasting and postprandial serum insulin levels.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0001988	Recurrent hypoglycemia	Recurrent episodes of decreased concentration of glucose in the blood.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0006929	Hypoglycemic encephalopathy	Brain damage related to a lowering of blood glucose below a critical level (around 30 mg/dl), which may lead to confusion, lethargy and delirium followed by seizures and coma. Prolonged hypoglycemia may lead to irreversible brain damage.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003074	Hyperglycemia	An increased concentration of glucose in the blood.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0011998	Postprandial hyperglycemia	An increased concentration of glucose in the blood following a meal.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0040270	Decreased glucose tolerance	An abnormal resistance to glucose, i.e., a reduction in the ability to maintain glucose levels in the blood stream within normal limits following oral or intravenous administration of glucose.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0001943	Hypoglycemia	A decreased concentration of glucose in the blood.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0011015	Abnormality of blood glucose concentration	An abnormality of the concentration of glucose in the blood.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012734	Ketotic hypoglycemia	Low blood glucose is accompanied by elevated levels of ketone bodies in the body.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0025130	Decreased small intestinal mucosa lactase activity@en	Lactase is produced in the small intestine in humans, Lactase is a member of the beta-galactosidase family of enzymes, and hydrolyzes D-lactose to form D-galactose and D-glucose, which can be absorbed by the small intestine. There are many ways of assessing lactase activity. In one test, an endoscopic biopsy from the postbulbar duodenum is incubated with lactose on a test plate, and a color reaction develops within 20 min as a result of hydrolyzed lactose (a positive result) in patients with normolactasia, whereas no reaction (a negative result) develops in patients with severe hypolactasia. Other, less direct, tests include the hydrogen breath test, and blood tests following lactose challenges.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0031075	Abnormal response to insulin tolerance test	An anomalous response to the insulin tolerance test (ITT), in which insulin is administered intravenously and blood glucose and potentially other compounds are measred at intervals. Insulin administration is intended to induce extreme hypoglycemia (bloodgluoce below 40 mg/dl), which in turn induces release of adrenocorticotropic hormone (ACTH) and growth hormone (GH). ACTH induces the adrenal gland to release cortisol, which together with GH opposes the action of insulin on the blood glucose level.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0004914	Recurrent infantile hypoglycemia	Recurrent episodes of decreased concentration of glucose in the blood occurring during the infantile period.
Glucose [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0000825	Hyperinsulinemic hypoglycemia	An increased concentration of insulin combined with a decreased concentration of glucose in the blood.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0040077	Abnormal concentration of calcium in blood	
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003472	Hypocalcemic tetany	Hyperexcitability of the neuromuscular system related to abnormally low level of calcium in the blood, resulting in carpopedal or generalized spasms.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003645	Prolonged partial thromboplastin time	Increased time to coagulation in the partial thromboplastin time (PTT) test, a measure of the intrinsic and common coagulation pathways. Phospholipid, and activator, and calcium are mixed into an anticoagulated plasma sample, and the time is measured until a thrombus forms.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0000083	Renal insufficiency	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0002901	Hypocalcemia	An abnormally decreased calcium concentration in the blood.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0011770	Tertiary hyperparathyroidism	A type of hyperparathyroidism that occurs following kidney transplantation, which is a treatment for secondary hyperparathyroidism. Although kidney transplantation leads to a normalization of serum calcium and parathyroid hormone in most patients. The state of persistent hypercalcemia and hyperparathyroidism is referred to as tertiary hyperparathyroidism.
Calcium [Mass/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0003072	Hypercalcemia	An abnormally increased calcium concentration in the blood.
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	98	http://purl.obolibrary.org/obo/HP_0012415	Abnormal blood gas level	An abnormality of the partial pressure of oxygen or carbon dioxide in the arterial blood.
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	98	http://purl.obolibrary.org/obo/HP_0012416	Hypercapnia	Abnormally elevated blood carbon dioxide (CO2) level.
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	98	http://purl.obolibrary.org/obo/HP_0012466	Chronic respiratory acidosis	Longstanding impairment in ventilation such that the partial pressure of carbon dioxide (PaCO2) is elevated above the upper limit of the reference range (more than 45 mm Hg), with a normal or near-normal pH secondary to renal compensation and an elevated serum bicarbonate levels (more than30 mEq/L).
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	98	http://purl.obolibrary.org/obo/HP_0012417	Hypocapnia	Abnormally reduced blood carbon dioxide (CO2) level.
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	98	http://purl.obolibrary.org/obo/HP_0045049	Abnormal DLCO	An abnormal amount of oxygen passes into the blood from the lungs and/or an abnormal amount of carbon dioxide passes from the blood into the lungs.
"Carbon dioxide, total [Moles/volume] in Serum or Plasma"	78	http://purl.obolibrary.org/obo/HP_0500019	Abnormal resting energy expenditure from metabolic cart test	Resting energy expenditure (REE) can be measured with indirect calorimetry using a metabolic cart, which is used to measure the oxygen consumption (VO2) and carbon dioxide production (VCO2).
